Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%);H 11 (%);H 12 (%);H 13 (%);H 14 (%);H 15 (%);H 16 (%);H 17 (%);H 18 (%)
PACAJUS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;230;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;
PACATUBA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;845;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;
PACOTI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;30;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;
PACUJA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;81;75;93%;29%;15%;56%;65%;56;75;49;79;79;68;71;72;67;;53;59;59;67;63;59;73;65
PALHANO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;112;103;92%;35%;23%;42%;59%;61;72;37;68;83;51;69;60;64;39;46;46;38;76;37;56;77;71
PALMACIA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;128;12;9%;0%;33%;67%;76%;83;100;50;92;83;75;42;92;79;;79;71;33;75;100;75;75;83
PARACURU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;603;423;70%;36%;22%;42%;58%;58;68;33;68;77;56;64;65;64;44;53;49;43;60;60;53;72;65
PARAMOTI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;24;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;
PEDRA BRANCA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;461;416;90%;1%;0%;40%;99%;100;99;99;310;99;99;99;99;99;99;100;99;99;99;99;99;99;98
PENTECOSTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;639;332;52%;42%;22%;36%;50%;51;57;32;63;67;56;74;51;9;46;57;48;46;26;47;31;73;54
PEREIRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;138;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;
PINDORETAMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;310;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;
PIQUET CARNEIRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;40;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;
PIRES FERREIRA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;118;116;98%;0%;0%;63%;93%;95;95;84;;96;88;96;97;97;88;96;90;;91;91;97;96;97
PORANGA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;157;138;88%;23%;21%;56%;63%;61;78;52;70;85;64;76;66;;59;70;60;60;20;59;58;83;67
PORTEIRAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;133;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;
POTENGI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;109;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;
POTIRETAMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;103;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;
