Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%);H 11 (%);H 12 (%);H 13 (%);H 14 (%);H 15 (%);H 16 (%);H 17 (%);H 18 (%)
GROAIRAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;134;126;94%;10%;10%;55%;81%;81;75;66;;92;71;90;83;87;68;80;78;;90;82;86;85;83
GUAIUBA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;345;328;95%;26%;24%;50%;63%;62;70;40;72;80;63;72;60;73;;57;52;47;77;44;57;79;73
GUARAMIRANGA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;79;75;95%;19%;15%;65%;68%;77;75;55;200;83;63;86;79;83;68;62;63;52;61;61;68;72;55
HORIZONTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;36;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;
IBARETAMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;190;90;47%;27%;24%;49%;63%;61;69;47;74;60;44;63;71;60;;64;47;61;81;72;54;76;79
IBIAPINA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;350;269;77%;24%;19%;57%;68%;63;70;39;82;79;62;71;70;71;100;64;63;53;74;70;61;79;75
ICAPUI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;297;281;95%;26%;25%;49%;63%;62;65;39;74;81;58;68;72;74;;53;51;40;75;55;55;81;78
ICO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;795;654;82%;44%;24%;32%;54%;51;63;29;58;72;47;62;49;55;;48;46;43;65;40;53;73;65
IGUATU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;185;80;43%;34%;30%;36%;54%;45;64;46;72;73;62;72;59;58;63;37;48;56;52;29;44;58;51
INDEPENDENCIA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;4;4;100%;0%;0%;100%;90%;100;75;100;100;100;;100;100;100;0;100;100;0;100;100;100;100;
IPAPORANGA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;166;155;93%;14%;18%;68%;75%;68;82;39;93;88;79;78;81;84;;68;67;57;89;72;72;82;83
IPAUMIRIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;153;149;97%;34%;20%;46%;58%;66;61;28;444;79;64;79;62;57;52;58;55;53;36;65;42;78;65
IPU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;217;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;
IPUEIRAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;14;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;
IRACEMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;287;145;51%;41%;24%;34%;56%;60;57;33;66;81;66;65;60;66;35;40;44;43;64;43;50;70;66
IRAUCUBA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;381;366;96%;23%;13%;64%;69%;66;78;60;82;83;71;81;68;70;66;;63;65;57;74;;;67
