Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%);H 11 (%);H 12 (%);H 13 (%);H 14 (%);H 15 (%)
SANTANA DO CARIRI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;302;249;82%;43%;28%;29%;57%;54;45;53;71;61;58;57;39;60;47;44;77;55;59;73
SAO BENEDITO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;629;325;52%;20%;26%;54%;72%;70;71;65;82;78;75;53;59;32;78;61;86;70;65;78
SAO JOAO DO JAGUARIBE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;60;57;95%;26%;28%;46%;67%;67;63;68;81;74;75;60;53;67;51;51;88;63;89;73
SENADOR POMPEU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;273;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
SENADOR SA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;10;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
SOLONOPOLE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;221;213;96%;30%;25%;45%;65%;58;55;63;79;73;69;58;51;76;67;54;79;57;65;77
TABULEIRO DO NORTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;347;298;86%;27%;35%;38%;66%;66;70;66;78;77;69;47;36;53;64;57;77;77;63;75
TAMBORIL;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;333;256;77%;19%;26%;55%;72%;61;64;76;83;75;76;78;58;85;71;60;83;60;77;82
TARRAFAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;86;57;66%;18%;9%;74%;79%;82;85;76;82;86;75;23;81;36;79;82;85;72;76;84
TAUA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;666;531;80%;28%;34%;38%;66%;58;59;60;77;71;72;46;48;54;68;62;83;63;64;77
TEJUCUOCA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;279;233;84%;37%;32%;30%;61%;48;59;53;82;72;64;38;38;73;52;49;84;49;64;72
TIANGUA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;1257;1031;82%;27%;30%;43%;66%;60;61;63;81;75;72;;50;;64;56;82;64;61;73
TRAIRI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;675;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
UBAJARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;514;444;86%;29%;37%;34%;64%;60;60;62;75;69;70;54;43;51;64;45;80;67;63;77
UMARI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;44;28;64%;4%;0%;96%;96%;89;100;93;93;98;98;;95;;96;95;96;100;96;93
UMIRIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;243;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
URUBURETAMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;293;217;74%;33%;42%;24%;60%;52;51;57;79;70;67;44;36;44;58;45;79;66;53;74
URUOCA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;244;207;85%;16%;22%;62%;77%;86;60;79;84;85;81;71;57;73;76;57;85;84;74;83
VARJOTA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;268;231;86%;22%;25%;53%;71%;66;69;68;78;79;80;51;53;75;70;51;87;66;72;80
VICOSA DO CEARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;1019;793;78%;18%;35%;47%;69%;63;68;65;82;75;70;0;58;0;70;60;82;62;66;78
