Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%);H 11 (%);H 12 (%);H 13 (%);H 14 (%);H 15 (%);H 16 (%)
QUIXERAMOBIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;1299;1039;80%;7%;12%;82%;80%;91;83;86;78;87;76;79;74;90;81;82;86;72;79;67;66
QUIXERE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;246;205;83%;13%;22%;65%;69%;93;73;77;62;50;57;65;61;87;77;64;83;0;73;0;41
REDENCAO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;428;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
RERIUTABA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;214;147;69%;11%;20%;69%;73%;94;77;75;70;85;66;72;68;91;72;64;86;66;69;69;47
RUSSAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;176;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
SABOEIRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;189;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
SALITRE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;324;283;87%;19%;23%;58%;68%;90;64;74;68;67;59;67;61;85;71;64;76;44;67;39;48
SANTA QUITERIA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;492;284;58%;24%;19%;57%;62%;;67;65;67;71;58;59;53;85;67;61;79;48;54;46;
SANTANA DO ACARAU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;352;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
SANTANA DO CARIRI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;302;246;81%;28%;28%;44%;61%;85;63;68;56;66;47;56;47;81;63;60;76;48;55;54;41
SAO BENEDITO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;641;319;50%;22%;20%;58%;67%;77;67;74;58;45;63;65;61;77;69;67;74;50;70;27;54
SAO JOAO DO JAGUARIBE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;60;60;100%;18%;20%;62%;64%;94;58;73;59;78;53;66;58;82;;63;74;62;54;23;45
