Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%);H 11 (%);H 12 (%);H 13 (%);H 14 (%);H 15 (%);H 16 (%)
GRANJEIRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;76;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
GROAIRAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;123;117;95%;3%;7%;90%;82%;96;92;88;87;93;62;67;;94;84;85;91;85;83;36;74
GUAIUBA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;312;268;86%;10%;13%;77%;75%;96;80;86;64;;63;77;66;90;66;69;87;;80;;58
GUARACIABA DO NORTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;646;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
GUARAMIRANGA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;77;70;91%;11%;16%;73%;70%;95;68;73;66;86;61;86;61;89;73;86;93;64;61;46;41
HIDROLANDIA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;215;208;97%;4%;9%;88%;83%;99;88;88;75;;72;84;77;97;89;82;91;;83;;57
HORIZONTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;39;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
IBARETAMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;185;127;69%;24%;34%;41%;60%;70;61;74;46;;47;57;62;81;72;57;71;;73;;37
IBIAPINA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;367;301;82%;21%;21%;58%;66%;82;68;75;56;;55;67;61;81;66;65;78;;69;;46
ICAPUI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;301;283;94%;17%;20%;63%;69%;93;70;76;57;;61;68;63;87;68;67;83;;71;;43
ICO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;705;608;86%;32%;27%;41%;58%;75;59;71;48;;48;51;51;77;63;57;70;;61;;36
IGUATU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;925;628;68%;25%;34%;40%;58%;88;57;66;52;69;54;55;48;78;62;59;72;45;47;43;36
INDEPENDENCIA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;255;220;86%;5%;12%;83%;84%;95;80;89;77;;80;81;78;93;80;85;92;;85;;77
IPAPORANGA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;163;156;96%;8%;14%;78%;75%;97;75;85;68;86;72;;61;93;75;;;72;71;62;58
IPAUMIRIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;132;86;65%;10%;15%;74%;72%;78;79;75;82;69;54;81;66;90;64;72;78;55;71;68;63
IPU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;356;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
IPUEIRAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;512;429;84%;2%;5%;92%;85%;90;89;86;82;88;84;89;5;96;84;81;91;85;90;55;80
IRACEMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;166;147;89%;22%;18%;60%;64%;91;60;68;59;64;55;70;72;84;68;55;73;62;60;51;36
IRAUCUBA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;383;369;96%;4%;14%;82%;81%;96;86;88;80;91;77;0;70;91;84;100;0;73;80;69;50
ITAICABA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;105;104;99%;9%;25%;66%;67%;97;79;58;68;82;50;67;43;93;78;72;86;65;60;47;18
ITAITINGA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;850;744;88%;18%;23%;59%;66%;85;71;76;61;81;54;56;54;85;69;65;79;54;63;49;49
ITAPAJE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;537;389;72%;18%;29%;53%;64%;89;68;73;57;80;56;58;51;86;70;64;78;51;55;43;36
ITAPIUNA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;220;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
ITATIRA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;166;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
JAGUARETAMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;233;206;88%;17%;23%;60%;69%;89;71;76;69;;50;63;61;84;77;66;77;;69;;52
JAGUARIBARA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;149;149;100%;21%;28%;50%;64%;94;67;70;62;;54;58;56;79;67;57;76;;61;;35
JAGUARIBE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;473;393;83%;12%;25%;63%;70%;93;71;78;66;76;61;67;60;88;76;65;84;50;66;50;43
JAGUARUANA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;340;317;93%;11%;19%;70%;70%;0;72;83;69;81;63;63;52;95;78;75;89;63;60;51;0
JARDIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;395;326;83%;25%;25%;50%;61%;86;63;68;52;66;53;60;52;80;59;66;74;50;60;43;35
JATI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;126;112;89%;17%;23%;60%;66%;81;66;72;59;100;57;62;65;78;70;68;75;25;77;88;40
JUAZEIRO DO NORTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;1535;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
JUCAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;274;272;99%;10%;15%;75%;73%;96;72;68;75;84;56;75;69;93;76;71;86;68;69;57;51
LAVRAS DA MANGABEIRA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;310;262;85%;13%;25%;62%;66%;90;66;74;61;73;44;65;60;84;;67;79;58;61;45;50
LIMOEIRO DO NORTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;681;508;75%;14%;31%;55%;66%;93;70;76;61;83;55;25;41;87;70;0;0;61;57;46;33
MADALENA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;303;252;83%;11%;18%;71%;73%;92;72;83;71;50;63;63;69;91;75;73;83;0;80;0;51
MARACANAU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;3238;2685;83%;19%;24%;57%;67%;88;70;74;58;25;56;63;59;84;69;63;78;33;67;25;44
MARANGUAPE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;1237;1106;89%;14%;19%;68%;69%;93;77;60;70;79;0;66;60;89;78;70;85;57;62;51;46
MARCO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;525;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
MARTINOPOLE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;197;165;84%;11%;13%;76%;77%;92;81;82;75;89;71;72;69;89;75;76;87;77;80;67;53
MASSAPE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;537;408;76%;12%;21%;68%;73%;86;75;81;69;;60;71;66;87;78;75;84;;79;;50
MAURITI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;610;547;90%;22%;25%;53%;63%;85;64;67;56;63;57;63;49;79;64;67;76;50;57;43;51
MERUOCA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;254;228;90%;6%;11%;82%;79%;98;82;87;81;89;77;0;59;91;85;50;0;72;76;62;48
MILAGRES;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;286;261;91%;14%;23%;64%;71%;92;68;80;60;;58;69;50;86;71;70;84;;79;;52
MILHA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;167;164;98%;5%;8%;87%;78%;94;83;84;77;81;74;71;77;96;85;67;88;72;78;62;56
MIRAIMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;13;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
MISSAO VELHA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;66;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
MOMBACA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;529;56;11%;13%;16%;71%;72%;95;77;82;58;;71;64;77;93;63;69;84;;71;;44
MONSENHOR TABOSA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;172;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
MORADA NOVA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;620;206;33%;25%;24%;50%;61%;89;62;69;56;50;48;56;52;84;64;56;71;0;66;0;33
MORRINHOS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;278;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
