Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%);H 11 (%);H 12 (%);H 13 (%);H 14 (%)
SANTANA DO ACARAU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;89;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
SANTANA DO CARIRI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;227;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
SAO BENEDITO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;651;600;92%;22%;27%;51%;65%;70;79;77;81;55;56;68;68;62;83;70;63;42;33
SAO JOAO DO JAGUARIBE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;71;69;97%;20%;16%;64%;69%;75;78;86;88;52;63;77;78;70;86;63;73;33;46
SENADOR POMPEU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;220;190;86%;27%;22%;51%;60%;66;67;99;81;55;39;62;61;65;80;83;59;45;46
SOLONOPOLE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;182;161;88%;12%;28%;60%;67%;77;83;99;90;52;64;77;70;72;88;64;62;41;41
TABULEIRO DO NORTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;310;295;95%;22%;23%;55%;61%;78;80;145;84;41;49;70;61;61;85;79;61;39;35
TAMBORIL;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;14;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
TAUA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;558;15;3%;7%;53%;40%;66%;60;60;73;87;60;63;70;60;80;97;67;73;33;27
TEJUCUOCA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;305;233;76%;30%;30%;40%;59%;64;76;69;80;35;50;59;62;63;79;68;58;33;28
TIANGUA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;1078;983;91%;28%;29%;43%;60%;63;77;68;80;47;54;57;61;64;81;67;60;32;23
TRAIRI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;634;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
UBAJARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;504;419;83%;16%;18%;66%;68%;77;81;94;82;59;63;75;67;69;86;72;69;50;40
UMIRIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;282;180;64%;44%;26%;30%;52%;53;77;56;76;32;47;55;57;47;74;59;46;28;19
URUBURETAMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;314;260;83%;37%;28%;35%;54%;72;72;91;78;33;42;63;50;58;72;69;50;28;25
URUOCA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;169;149;88%;21%;15%;60%;67%;77;77;109;77;57;60;77;70;72;81;81;66;54;48
VARJOTA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;266;29;11%;14%;7%;69%;72%;72;86;;79;71;74;75;69;83;72;71;84;55;55
VICOSA DO CEARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;876;774;88%;22%;20%;51%;63%;83;76;23050;80;53;48;69;63;68;87;87;63;47;40
