Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 56 (%);H 59 (%);H 60 (%);H 61 (%);H 62 (%);H 63 (%);H 64 (%);H 65 (%);H 66 (%);H 67 (%);H 68 (%)
FARIAS BRITO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;32;0;0%;0%;0%;0%;0%;;;;;;;;;;;
FORQUILHA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;236;0;0%;0%;0%;0%;0%;;;;;;;;;;;
FORTALEZA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;17679;129;1%;14%;50%;36%;64%;74;61;74;71;56;62;49;45;80;42;78
FORTIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;234;0;0%;0%;0%;0%;0%;;;;;;;;;;;
GENERAL SAMPAIO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;127;110;87%;13%;21%;66%;73%;76;80;85;77;78;71;60;54;84;39;85
GRANJA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;773;737;95%;4%;16%;80%;81%;90;79;86;80;80;83;76;54;87;70;90
GRANJEIRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;62;19;31%;11%;47%;42%;65%;79;65;61;61;84;58;42;47;87;84;82
GROAIRAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;133;130;98%;13%;27%;60%;74%;74;75;87;72;82;83;65;46;86;63;83
GUAIUBA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;285;0;0%;0%;0%;0%;0%;;;;;;;;;;;
GUARAMIRANGA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;75;72;96%;13%;17%;71%;77%;88;83;88;73;86;84;65;56;87;55;88
IBARETAMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;84;0;0%;0%;0%;0%;0%;;;;;;;;;;;
IBIAPINA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;328;295;90%;6%;22%;71%;77%;81;70;83;81;79;81;71;35;89;71;86
IBICUITINGA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;22;21;95%;0%;5%;95%;80%;86;76;79;70;86;87;90;76;90;100;48
ICAPUI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;299;294;98%;14%;30%;56%;70%;79;70;73;72;70;68;58;54;88;53;85
ICO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;705;522;74%;13%;34%;53%;69%;72;58;72;72;67;69;65;53;80;60;81
IGUATU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;166;114;69%;34%;36%;30%;57%;79;65;64;63;61;56;39;26;67;35;67
INDEPENDENCIA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;7;0;0%;0%;0%;0%;0%;;;;;;;;;;;
IPAPORANGA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;155;137;88%;20%;42%;39%;63%;80;66;69;61;54;56;47;55;85;39;84
IPAUMIRIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;122;117;96%;18%;27%;55%;67%;68;58;67;71;73;67;68;46;82;62;79
IPU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;240;0;0%;0%;0%;0%;0%;;;;;;;;;;;
IRACEMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;178;0;0%;0%;0%;0%;0%;;;;;;;;;;;
IRAUCUBA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;361;3;1%;100%;0%;0%;9%;0;0;50;0;0;0;33;0;0;0;0
ITAICABA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;93;86;92%;3%;16%;80%;80%;84;80;81;81;78;87;75;36;92;65;94
