Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%)
LIMOEIRO DO NORTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;643;487;76%;8%;27%;65%;83%;82;70;79;73;94;97;83;90;73
MADALENA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;274;214;78%;9%;24%;66%;78%;79;64;83;75;80;96;62;90;74
MARACANAU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;3144;2653;84%;10%;24%;66%;78%;78;59;77;70;79;95;73;91;73
MARANGUAPE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;1134;1026;90%;7%;25%;68%;83%;75;75;82;69;71;96;91;93;84
MARCO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;635;0;0%;0%;0%;0%;0%;;;;;;;;;
MARTINOPOLE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;222;192;86%;8%;16%;76%;83%;81;79;87;80;79;94;78;89;85
MASSAPE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;526;416;79%;4%;10%;86%;85%;86;75;86;87;88;93;75;94;82
MAURITI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;616;538;87%;9%;26%;64%;78%;76;73;81;68;77;90;72;89;75
MERUOCA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;257;241;94%;4%;14%;82%;86%;86;80;85;79;78;99;78;97;83
MILAGRES;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;213;190;89%;5%;25%;70%;80%;82;73;84;79;71;97;73;91;75
MILHA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;163;157;96%;2%;4%;94%;92%;90;87;93;94;92;98;88;96;92
MIRAIMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;21;0;0%;0%;0%;0%;0%;;;;;;;;;
MOMBACA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;555;470;85%;9%;28%;63%;80%;77;82;78;72;77;93;65;89;80
MONSENHOR TABOSA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;197;165;84%;3%;21%;76%;82%;81;68;87;76;85;98;66;94;81
MORADA NOVA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;601;0;0%;0%;0%;0%;0%;;;;;;;;;
MORRINHOS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;309;0;0%;0%;0%;0%;0%;;;;;;;;;
MUCAMBO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;181;172;95%;3%;15%;81%;86%;88;78;86;84;89;97;77;92;85
MULUNGU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;146;0;0%;0%;0%;0%;0%;;;;;;;;;
NOVA OLINDA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;216;211;98%;5%;28%;66%;85%;79;81;87;71;77;96;90;96;81
NOVA RUSSAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;359;307;86%;4%;14%;82%;84%;82;73;88;86;81;98;73;95;82
NOVO ORIENTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;378;359;95%;2%;8%;90%;91%;91;85;91;87;91;98;87;96;91
OCARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;293;265;90%;7%;35%;58%;77%;78;64;90;72;72;95;77;92;69
OROS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;235;201;86%;6%;19%;75%;82%;75;77;86;72;72;95;85;94;81
PACAJUS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;202;0;0%;0%;0%;0%;0%;;;;;;;;;
PACATUBA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;880;786;89%;8%;25%;67%;78%;79;61;77;74;78;97;72;90;73
PACOTI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;141;8;6%;13%;38%;50%;70%;75;75;46;63;75;100;58;94;63
PACUJA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;110;96;87%;10%;35%;54%;74%;78;53;65;70;81;97;58;95;66
PALHANO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;87;83;95%;10%;29%;61%;75%;78;60;77;64;75;94;61;89;73
PALMACIA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;117;21;18%;0%;10%;90%;86%;80;87;98;82;74;98;73;98;91
PARACURU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;590;511;87%;5%;16%;79%;83%;81;78;86;80;85;96;72;93;82
PARAMOTI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;163;122;75%;7%;28%;66%;81%;70;73;85;77;79;95;75;90;78
PEDRA BRANCA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;513;434;85%;0%;0%;100%;99%;99;99;99;99;99;99;99;99;99
PENAFORTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;118;0;0%;0%;0%;0%;0%;;;;;;;;;
PENTECOSTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;629;412;66%;9%;24%;67%;83%;75;75;80;72;76;94;92;92;81
PEREIRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;276;270;98%;5%;22%;73%;83%;77;71;91;78;84;97;84;96;80
PINDORETAMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;332;0;0%;0%;0%;0%;0%;;;;;;;;;
PIQUET CARNEIRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;144;118;82%;1%;7%;92%;93%;90;92;95;89;92;100;89;98;93
