Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 48 (%);H 49 (%);H 50 (%);H 51 (%);H 52 (%);H 53 (%);H 54 (%);H 55 (%);H 56 (%);H 57 (%);H 58 (%)
ABAIARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;119;114;96%;8%;20%;72%;78%;75;66;70;78;59;52;81;99;86;95;92
ACARAPE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;196;161;82%;7%;16%;76%;82%;82;84;77;42;78;80;83;89;90;92;83
ACARAU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;945;0;0%;0%;0%;0%;0%;;;;;;;;;;;
ACOPIARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;509;316;62%;30%;34%;36%;65%;62;65;60;45;49;47;66;80;77;79;69
AIUABA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;169;0;0%;0%;0%;0%;0%;;;;;;;;;;;
ALCANTARAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;176;142;81%;2%;19%;79%;85%;79;86;81;93;69;78;92;93;90;92;91
ALTO SANTO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;201;172;86%;10%;23%;66%;79%;72;66;70;78;65;68;79;97;88;94;91
ANTONINA DO NORTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;78;78;100%;5%;22%;73%;78%;68;72;76;73;59;77;84;92;84;95;86
AQUIRAZ;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;1161;1002;86%;6%;17%;77%;83%;81;83;81;51;69;77;86;93;89;97;87
ARACATI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;909;745;82%;12%;20%;68%;79%;79;79;68;50;69;70;77;88;86;95;81
ARACOIABA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;334;298;89%;13%;26%;61%;77%;75;75;76;43;64;71;79;83;86;93;79
ARARENDA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;143;139;97%;6%;4%;91%;91%;94;92;92;96;88;82;92;91;87;96;89
ARARIPE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;373;299;80%;9%;27%;64%;75%;84;76;67;73;52;62;70;94;90;96;81
ARATUBA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;182;163;90%;2%;9%;88%;85%;83;88;78;80;72;77;82;95;93;93;92
ARNEIROZ;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;92;0;0%;0%;0%;0%;0%;;;;;;;;;;;
ASSARE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;312;291;93%;10%;23%;67%;80%;83;81;78;41;67;74;74;90;87;95;86
AURORA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;251;199;79%;18%;37%;46%;71%;71;64;70;25;54;55;72;88;78;91;75
BAIXIO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;87;72;83%;0%;0%;100%;90%;88;90;75;43;93;97;82;94;99;99;96
BANABUIU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;258;191;74%;7%;21%;72%;80%;84;84;69;58;71;67;69;90;88;94;85
BARBALHA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;1;0;0%;0%;0%;0%;0%;;;;;;;;;;;
BARREIRA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;303;291;96%;11%;27%;62%;78%;76;78;63;58;59;71;82;90;83;96;81
