Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 69 (%);H 70 (%);H 71 (%);H 72 (%);H 73 (%);H 74 (%);H 75 (%);H 76 (%);H 77 (%);H 78 (%);H 79 (%);H 80 (%);H 81 (%)
IPAPORANGA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;162;155;96%;30%;47%;23%;58%;64;63;56;62;54;66;61;;47;68;35;59;
IPAUMIRIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;132;127;96%;52%;20%;28%;55%;64;55;56;63;58;52;52;37;49;61;15;68;57
IPU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;356;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
IPUEIRAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;487;350;72%;10%;12%;78%;80%;83;85;85;86;84;84;86;;82;84;62;63;
IRACEMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;148;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
IRAUCUBA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;376;354;94%;17%;34%;50%;69%;75;66;67;69;70;79;77;;69;79;46;61;
ITAICABA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;110;108;98%;18%;46%;36%;65%;70;72;74;73;62;77;75;;43;72;37;56;
ITAITINGA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;846;750;89%;35%;35%;30%;61%;63;61;63;64;65;65;59;54;51;67;41;61;72
ITAPAJE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;455;229;50%;37%;44%;19%;60%;61;55;62;66;62;64;60;47;50;69;37;74;62
ITAPIUNA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;220;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
ITATIRA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;174;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
JAGUARETAMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;233;212;91%;35%;37%;28%;64%;73;58;66;74;72;71;58;48;48;68;0;81;69
