Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 75 (%);H 77 (%);H 80 (%);H 82 (%);H 83 (%);H 84 (%);H 85 (%);H 86 (%);H 87 (%);H 88 (%);H 89 (%);H 90 (%);H 91 (%);H 93 (%)
ACARAPE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;212;204;96%;39%;26%;34%;51%;62;47;50;60;51;58;59;58;52;32;53;41;41;39
ACARAU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;931;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
ACOPIARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;154;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
ALCANTARAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;174;134;77%;10%;18%;72%;72%;79;70;66;75;72;85;83;73;81;48;75;67;68;69
ALTANEIRA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;16;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
ALTO SANTO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;66;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
ANTONINA DO NORTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;87;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
ARACATI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;929;765;82%;40%;24%;36%;51%;64;43;52;57;45;55;66;61;51;40;49;40;44;36
ARACOIABA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;292;270;92%;34%;24%;43%;56%;66;54;52;57;60;59;69;69;55;44;64;45;44;41
ARARENDA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;155;154;99%;1%;1%;97%;91%;89;93;95;92;91;97;91;89;90;89;85;91;96;86
ARARIPE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;321;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
ARATUBA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;221;189;86%;39%;20%;41%;53%;70;45;52;63;49;61;61;64;53;49;49;43;44;40
ARNEIROZ;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;15;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
ASSARE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;200;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
AURORA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;249;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
BARRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;214;8;4%;25%;38%;38%;57%;75;38;25;81;38;75;94;75;81;25;63;25;50;19
BARROQUINHA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;352;240;68%;45%;19%;36%;49%;69;53;46;50;45;54;59;56;54;39;40;39;39;41
BATURITE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;459;16;3%;25%;38%;38%;54%;63;56;56;56;44;56;81;66;53;50;63;50;22;44
BELA CRUZ;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;308;33;11%;21%;12%;67%;69%;84;66;69;79;57;82;85;76;84;51;64;63;53;59
BOA VIAGEM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;25;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
BREJO SANTO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;585;491;84%;26%;24%;49%;61%;71;57;55;71;51;73;76;66;57;55;67;55;40;50
CAMOCIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;925;748;81%;33%;28%;39%;54%;71;52;55;59;56;50;60;60;59;41;56;44;40;48
CAMPOS SALES;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;38;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
CANINDE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;932;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
CAPISTRANO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;204;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
CARIDADE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;13;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
CARIRIACU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;241;62;26%;50%;26%;24%;40%;73;42;31;56;31;55;53;53;34;36;38;39;6;36
CARIUS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;219;212;97%;30%;25%;45%;57%;79;46;54;83;47;64;70;65;;43;55;52;;35
CARNAUBAL;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;283;253;89%;48%;22%;30%;47%;69;36;49;53;48;52;63;59;47;30;35;30;40;36
CASCAVEL;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;732;83;11%;27%;19%;54%;61%;74;57;58;71;49;67;72;67;78;48;65;49;50;52
CATARINA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;84;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
