Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 68 (%);H 69 (%);H 70 (%);H 71 (%);H 72 (%);H 73 (%);H 74 (%);H 75 (%);H 77 (%);H 78 (%);H 80 (%);H 81 (%);H 82 (%);H 83 (%);H 85 (%)
ACARAPE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;215;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
ACARAU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;931;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
ACOPIARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;128;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
ALCANTARAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;171;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
ALTANEIRA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;16;15;94%;0%;33%;67%;68%;83;93;27;51;60;7;50;93;80;73;73;100;87;67;73
ALTO SANTO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;66;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
ANTONINA DO NORTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;87;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
ARACATI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;885;607;69%;46%;20%;33%;51%;49;57;35;35;61;22;66;70;39;48;66;56;58;64;35
ARACOIABA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;288;268;93%;57%;22%;21%;46%;46;50;28;27;55;26;61;67;29;52;60;45;52;54;27
ARARENDA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;157;154;98%;1%;1%;98%;84%;90;84;89;85;86;;87;94;90;;;57;77;90;77
ARARIPE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;322;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
ARATUBA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;235;188;80%;37%;21%;42%;57%;52;65;38;38;64;22;68;72;58;55;65;65;63;63;40
ARNEIROZ;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;15;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
ASSARE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;226;7;3%;100%;0%;0%;25%;0;;;21;29;0;36;29;0;33;71;14;29;29;29
AURORA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;220;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
BARRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;206;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
BARROQUINHA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;352;228;65%;35%;18%;46%;60%;63;68;43;39;69;25;71;79;53;60;67;59;60;63;41
BATURITE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;439;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
BELA CRUZ;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;214;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
BOA VIAGEM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;25;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
BREJO SANTO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;386;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
CAMOCIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;793;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
CAMPOS SALES;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;38;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
CANINDE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;949;75;8%;51%;23%;27%;48%;45;49;44;31;56;28;66;64;32;53;44;36;55;53;35
CAPISTRANO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;204;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
CARIRIACU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;135;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
CARNAUBAL;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;237;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
CASCAVEL;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;733;91;12%;36%;20%;44%;59%;55;63;46;36;64;13;75;76;46;67;63;65;70;67;35
CATARINA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;88;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
CATUNDA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;135;3;2%;0%;0%;100%;83%;67;100;50;56;100;;100;89;100;83;;100;100;;67
CAUCAIA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;2996;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
CHAVAL;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;179;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
CHORO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;195;15;8%;27%;40%;33%;60%;47;75;63;38;53;45;81;87;56;46;55;95;77;60;41
CRATEUS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;891;762;86%;37%;23%;40%;56%;58;84;74;38;66;29;70;75;42;54;68;57;65;62;39
CRATO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;302;181;60%;41%;20%;38%;57%;54;56;55;40;64;28;70;68;53;63;63;61;58;72;41
CROATA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;197;13;7%;23%;23%;54%;62%;73;69;38;49;77;15;85;85;69;65;77;77;58;77;31
ERERE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;100;20;20%;35%;35%;30%;59%;65;68;40;14;66;;75;74;60;75;;61;71;73;35
EUSEBIO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;1006;32;3%;41%;22%;38%;54%;59;58;29;30;59;31;82;66;50;40;78;66;82;63;27
FARIAS BRITO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;18;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
FORQUILHA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;307;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
FORTIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;238;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
FRECHEIRINHA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;296;276;93%;39%;17%;44%;57%;71;66;41;45;66;23;61;74;34;59;72;56;65;64;48
GRANJA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;858;786;92%;36%;20%;44%;58%;66;100;50;47;67;36;64;73;47;62;67;63;52;64;47
GRANJEIRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;74;17;23%;35%;18%;47%;62%;76;82;;47;68;24;76;71;44;59;71;71;65;59;53
GROAIRAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;134;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
GUARAMIRANGA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;79;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
IBARETAMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;157;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
IBIAPINA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;324;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
ICAPUI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;239;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
ICO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;716;89;12%;62%;21%;17%;45%;36;41;25;27;52;27;64;62;46;47;45;31;52;47;42
IGUATU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;87;26;30%;69%;15%;15%;37%;33;50;44;34;36;19;44;52;14;29;38;46;46;38;31
INDEPENDENCIA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;4;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
IPAPORANGA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;160;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
IPAUMIRIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;159;147;92%;48%;26%;27%;51%;39;56;24;28;64;36;64;67;42;54;62;48;60;56;34
IPUEIRAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;14;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
IRACEMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;179;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
IRAUCUBA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;381;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
ITAICABA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;111;107;96%;33%;24%;43%;60%;61;;;41;67;29;77;78;35;61;74;64;74;71;44
