Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 75 (%);H 77 (%);H 82 (%);H 83 (%);H 84 (%);H 85 (%);H 88 (%);H 90 (%);H 92 (%);H 93 (%);H 94 (%);H 95 (%);H 96 (%);H 97 (%);H 98 (%)
ACARAPE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;208;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
ACARAU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;797;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
ACOPIARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;45;22;49%;41%;18%;41%;54%;80;50;52;18;64;68;77;32;73;64;27;55;9;32;64
ALCANTARAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;188;175;93%;6%;8%;86%;82%;89;81;84;58;93;93;78;72;90;79;86;77;78;77;69
ALTANEIRA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;11;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
ALTO SANTO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;82;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
ANTONINA DO NORTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;79;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
AQUIRAZ;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;57;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
ARACATI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;910;757;83%;21%;21%;57%;63%;78;60;63;39;67;74;69;48;77;76;43;65;52;48;59
ARACOIABA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;344;314;91%;36%;23%;40%;53%;67;45;54;30;57;64;60;42;64;59;46;53;36;37;53
