Rede;Etapa;Componente Curricular;Código do Município;Escola;Previstos;Avaliados;Avaliados (%);Proficiência Média;Não alfabetizado;Alfabetização incompleta;Intermediário;Suficiente;Desejável;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%)
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2307650 ;MANOEL ROSEO LANDIM EMEF;55;56;102;178;0%;0%;7%;11%;82%;95;-;89;55;73;58;56;60
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2307650 ;MARIA DE LOURDES SILVA PROFª EMEF;59;64;108;192;0%;0%;3%;14%;83%;91;78;97;85;65;52;73;76
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2307650 ;MARIA DO SOCORRO VIANA FREITAS EMEIEF PROFª;75;76;101;209;0%;0%;3%;3%;95%;97;100;97;85;81;68;74;80
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2307650 ;MARIA JOSE HOLANDA DO VALE PROF EMEIEF;23;24;104;225;0%;0%;0%;0%;100%;91;100;96;96;79;94;88;88
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2307650 ;MARIA MARQUES DO NASCIMENTO EMEIEF;38;40;105;179;0%;0%;3%;8%;90%;91;-;90;84;68;53;62;54
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2307650 ;MARIO COVAS GOV EMEIEF;56;58;104;194;0%;3%;2%;7%;88%;95;69;93;82;70;68;68;62
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2307650 ;NAPOLEAO BONAPARTE VIANA EMEIEF;45;48;107;253;0%;0%;0%;4%;96%;98;100;100;94;94;92;90;94
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2307650 ;NARCISO PESSOA DE ARAUJO EMEIEF;112;116;104;220;0%;0%;0%;3%;97%;96;-;97;90;90;72;75;90
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2307650 ;NORBERTO ALVES BATALHA EMEIEF;35;35;100;185;0%;0%;3%;14%;83%;91;79;89;81;79;61;57;83
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2307650 ;NORMA CELIA PINHEIRO CRISPIM EMEIEF PROFª;132;136;103;213;0%;0%;0%;1%;99%;93;100;100;89;83;78;79;84
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2307650 ;PAULO FREIRE EMEIEF PROFESSOR;134;137;102;198;1%;1%;4%;7%;88%;92;82;94;84;71;70;71;70
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2307650 ;POVO PITAGUARI EMIEB;13;14;108;199;0%;0%;0%;7%;93%;86;-;86;86;71;79;73;86
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2307650 ;RODOLFO TEOFILO EMEF;25;26;104;194;0%;0%;0%;8%;92%;100;96;94;52;85;77;69;81
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2307650 ;TEREZA DE CALCUTA EMEF MADRE;92;93;101;196;0%;3%;4%;8%;85%;91;-;87;78;74;59;72;68
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2307650 ;VINICIUS DE MORAIS EMEF;91;96;105;223;0%;0%;0%;5%;95%;94;96;99;92;80;69;82;88
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2307650 ;WALMIKI SAMPAIO DE ALBUQUERQUE EMEIEF;24;25;104;171;0%;4%;0%;16%;80%;90;-;84;60;88;44;56;38
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2307700 ;ALVARO CAMARA EMEIEF;10;11;110;224;0%;0%;0%;0%;100%;89;-;95;82;82;82;100;86
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2307700 ;ANTONIO DE ABREU EMEIEF;17;19;112;223;0%;0%;0%;5%;95%;96;-;100;95;90;84;71;81
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2307700 ;ANTONIO JANUARIO DE OLIVEIRA EMEIEF;12;12;100;184;0%;0%;0%;17%;83%;94;100;96;71;63;88;58;75
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2307700 ;CAPISTRANO DE ABREU EMEF;86;88;102;215;0%;0%;2%;1%;97%;96;94;100;91;81;65;78;87
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2307700 ;CARLOS PEREIRA DE SOUSA EMEIEF;33;33;100;184;0%;0%;3%;24%;73%;98;94;80;72;83;59;58;49
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2307700 ;CENTRO DE EDUCACAO MUNICIPAL SANTA RITA;46;47;102;259;0%;0%;0%;0%;100%;99;-;100;95;100;95;95;99
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2307700 ;CESAR CAMPELO EMEF DR;2;3;150;195;0%;0%;0%;33%;67%;100;100;83;67;50;50;50;83
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2307700 ;CHICO LIMA EMEIEF;17;20;118;211;0%;0%;5%;5%;90%;93;-;-;91;80;43;89;70
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2307700 ;CRISTOVAO COLOMBO EMEIEF;9;9;100;157;0%;0%;11%;33%;56%;81;-;67;41;33;33;50;100
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2307700 ;DIREITOS HUMANOS EMEF;45;50;111;185;0%;0%;6%;16%;78%;87;-;92;73;82;70;66;49
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2307700 ;FLORENCIO BARROSO DE ALBUQUERQUE EMEIEF;21;21;100;245;0%;0%;5%;5%;90%;94;100;95;90;95;95;81;98
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2307700 ;FRANCISCA GOMES FERNANDES VIEIRA EMEF;27;26;96;214;0%;0%;4%;0%;96%;96;88;96;92;82;85;69;79
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2307700 ;FRANCISCA MARQUES DE SOUSA EMEF;37;36;97;240;0%;0%;3%;0%;97%;97;-;100;99;90;67;91;87
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2307700 ;FRANCISCA ROCHA MAGALHAES EMEIEF;27;28;104;204;0%;0%;0%;4%;96%;99;-;98;68;79;68;93;73
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2307700 ;FRANCISCO SARAIVA DE OLIVEIRA EMEIEF;21;22;105;244;0%;0%;0%;5%;95%;99;-;93;100;91;91;93;88
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2307700 ;IMACULADA CONCEICAO EMEIEF;11;10;91;223;0%;0%;0%;0%;100%;100;90;95;100;75;95;75;100
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2307700 ;JOAO CIRINO NOGUEIRA EMEF;60;59;98;174;0%;3%;12%;14%;71%;91;100;80;67;58;48;62;61
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2307700 ;JOAO LEITE EMEIEF;15;15;100;221;0%;0%;0%;0%;100%;98;-;100;98;100;63;92;73
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2307700 ;JOAQUIM LOPES DE ABREU EMEIEF;13;13;100;256;0%;0%;0%;0%;100%;94;-;100;96;92;92;100;96
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2307700 ;JOSE DE MOURA EMEIEF;20;20;100;182;0%;0%;0%;5%;95%;90;100;100;85;85;68;40;53
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2307700 ;JOSE DE SOUSA ALBUQUERQUE EMEF;19;20;105;194;0%;5%;0%;15%;80%;88;-;80;80;78;68;80;60
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2307700 ;JOSE FERNANDES VIEIRA EMEF;52;52;100;251;0%;0%;0%;0%;100%;99;100;98;92;95;92;97;96
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2307700 ;JOSE MAMEDE DA NOBREGA EMEIEF;7;7;100;194;0%;0%;0%;0%;100%;89;-;100;38;100;64;89;100
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2307700 ;JOSE PEREIRA DE SOUSA EMEF;25;25;100;198;0%;0%;0%;8%;92%;99;-;98;64;92;60;80;61
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2307700 ;JOSE SIMAO DE ABREU EMEIEF;6;6;100;205;0%;0%;0%;0%;100%;100;-;100;100;100;100;75;56
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2307700 ;LEONOR DE CASTRO BORGES EMEF;37;37;100;215;0%;3%;3%;0%;95%;93;95;93;92;78;88;73;84
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2307700 ;LUIZ ALBANO DA COSTA EMEIEF;24;25;104;227;0%;0%;0%;0%;100%;100;100;100;92;87;68;96;92
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2307700 ;MANOEL CORDEIRO EMEF;27;28;104;234;0%;0%;4%;4%;93%;96;-;96;88;88;86;88;88
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2307700 ;MARIA DA PENHA DE ABREU MACHADO EMEIEF;4;3;75;208;0%;0%;0%;0%;100%;100;-;100;100;100;50;83;67
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2307700 ;MARIA DE PAULA COLARES EMEIEF;22;20;91;209;0%;0%;0%;5%;95%;96;-;95;58;88;95;95;93
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2307700 ;MATIAS BECK EMEF;41;42;102;179;0%;5%;5%;12%;79%;89;87;90;81;55;70;58;62
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2307700 ;MENINOS DE JESUS EMEIEF;7;7;100;166;0%;0%;29%;0%;71%;86;-;100;71;52;29;43;64
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2307700 ;MIGUEL VIEIRA DA ROCHA EMEF;1;2;200;159;0%;0%;0%;50%;50%;67;100;50;50;100;25;50;100
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2307700 ;MONSENHOR MAURO GURGEL BRAGA HERBSTER EMEF;36;38;106;198;0%;0%;8%;5%;87%;91;-;95;80;73;64;75;53
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2307700 ;NILO PINHEIRO CAMPELO EMEF;44;44;100;227;0%;0%;2%;5%;93%;95;100;98;85;81;83;86;91
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2307700 ;PAULO CAMPOS TELES CEI;32;33;103;204;0%;3%;0%;3%;94%;92;-;70;91;69;79;90;88
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2307700 ;RAIMUNDA VALENTIM DE ANDRADE EMEF;17;17;100;231;0%;0%;0%;6%;94%;98;94;97;82;85;82;91;94
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2307700 ;RENATO MOTA EMEIEF;50;49;98;221;0%;0%;0%;0%;100%;97;100;100;54;97;60;95;89
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2307700 ;RIO PIRAPORA EMEIEF;92;90;98;209;0%;0%;1%;6%;93%;93;100;93;93;83;73;78;75
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2307700 ;RURAL DE GERERAU EMEIEF;36;35;97;213;0%;0%;0%;0%;100%;88;-;100;91;94;59;88;86
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2307700 ;SANTA TEREZINHA EMEIEF;6;6;100;160;0%;0%;0%;33%;67%;96;-;83;33;42;67;83;58
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2307700 ;SANTO ANTONIO EMEIEF;20;21;105;205;0%;0%;0%;0%;100%;100;-;100;100;84;76;86;68
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2307700 ;VALDIR BEZERRA EMEIEF DR;5;5;100;272;0%;0%;0%;0%;100%;100;100;100;100;100;100;100;100
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2309706 ;DR CARLOS ALBERTO DE ALMEIDA PONTE EEF;44;45;102;179;0%;0%;11%;11%;78%;93;91;84;73;65;56;45;72
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2309706 ;FIRMINO DE ABREU LIMA EEIEF;17;17;100;185;0%;0%;12%;6%;82%;82;-;82;78;59;68;75;65
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2309706 ;GELIA DA SILVA CORREIA EEIEF;68;73;107;199;0%;0%;3%;10%;88%;94;96;93;78;79;61;69;71
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2309706 ;JARDIM BOM RETIRO EREIEF;50;51;102;233;0%;0%;0%;0%;100%;99;100;94;93;93;75;91;74
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2309706 ;JOANA VASCONCELOS DE OLIVEIRA EEIEF;94;97;103;169;0%;2%;10%;23%;65%;85;-;85;64;56;50;57;55
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2309706 ;JOAO PAULO SAMPAIO DE MENEZES EEIEF;124;126;102;198;0%;0%;4%;13%;83%;95;98;93;76;67;61;75;70
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2309706 ;JOSE BATISTA DE OLIVEIRA EEIEF;49;57;116;207;0%;2%;0%;11%;88%;93;95;98;81;75;65;71;91
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2309706 ;MANOEL ROSENDO FREIRE EEF;41;41;100;188;0%;2%;2%;7%;88%;94;95;90;82;67;52;62;61
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2309706 ;MANUEL PONTES DE MEDEIROS EEIEF;25;28;112;187;0%;4%;7%;11%;79%;85;-;89;80;68;59;67;68
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2309706 ;MARIA DE SA RORIZ EEIEF;40;41;103;257;0%;0%;0%;0%;100%;99;100;98;97;94;63;99;97
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2309706 ;MARIA GUIOMAR BASTOS CAVALCANTE PROFESSORA EEIEF;77;81;105;194;0%;0%;1%;5%;94%;92;100;88;78;68;63;77;85
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2309706 ;MARIA MOCINHA ROCHA SA EEIEF;34;36;106;187;0%;3%;0%;14%;83%;92;-;89;49;79;54;70;77
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2309706 ;NELLY DE LIMA E MELO EEIEF;73;77;105;193;0%;0%;4%;9%;87%;87;96;95;85;65;69;66;70
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2309706 ;OS HEROIS DO TIMBO EEIEF;19;20;105;188;0%;0%;0%;15%;85%;100;90;95;86;78;60;78;41
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2309706 ;PEDRO DE SA RORIZ EEIEF;68;71;104;192;0%;1%;8%;6%;85%;88;-;87;73;73;61;69;79
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2309706 ;RAIMUNDA DA CRUZ ALEXANDRE EREIEF;3;3;100;116;0%;33%;33%;33%;0%;75;-;33;50;33;0;67;33
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2309706 ;VICENTE FERRER DE LIMA EEIEF;25;25;100;238;0%;0%;8%;0%;92%;93;92;90;94;92;94;90;86
MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;2309706 ;WALNEY DO CARMO LOPES EEIEF;23;24;104;228;0%;0%;0%;0%;100%;92;-;100;93;86;90;81;94
