Município,Componente Curricular,Etapa,Previstos,Avaliados,% Participação,Defasagem,Aprendizado intermediário,Aprendizado adequado,Acerto Total,H 01 (%),H 02 (%),H 03 (%),H 04 (%),H 06 (%),H 07 (%),H 08 (%),H 09 (%),H 10 (%),Ciclos,Ano,Componente,H 45 (%),H 46 (%),H 47 (%),H 49 (%),H 50 (%),H 51 (%),H 52 (%),H 05 (%),H 11 (%),H 48 (%),H 53 (%),H 54 (%),H 55 (%),H 56 (%),H 57 (%),H 58 (%),H 59 (%),H 61 (%),H 62 (%),H 12 (%),H 14 (%),H 17 (%),H 19 (%),H 20 (%),H 21 (%),H 22 (%),H 26 (%),H 29 (%),H 60 (%),H 63 (%),H 64 (%),H 65 (%),H 66 (%),H 67 (%),H 68 (%),H 69 (%),H 71 (%),H 76 (%),H 77 (%),H 23 (%),H 24 (%),H 25 (%),H 27 (%),H 28 (%),H 30 (%),H 31 (%),H 36 (%),H 38 (%),H 70 (%),H 72 (%),H 73 (%),H 74 (%),H 75 (%),H 78 (%),H 80 (%),H 81 (%),H 82 (%),H 83 (%),H 85 (%),H 32 (%),H 33 (%),H 34 (%),H 35 (%),H 37 (%),H 39 (%),H 40 (%),H 41 (%),H 42 (%),H 43 (%),H 44 (%),H 79 (%),H 84 (%),H 86 (%),H 87 (%),H 88 (%),H 90 (%),H 91 (%),H 92 (%),H 93 (%),H 13 (%),H 16 (%),H 18 (%),H 15 (%),H 89 (%),H 94 (%),H 95 (%),H 96 (%),H 97 (%),H 98 (%)
PENTECOSTE,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,402,0,0%,0%,0%,0%,0%,,,,,,,,,,1,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEREIRO,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,138,0,0%,0%,0%,0%,0%,,,,,,,,,,1,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PINDORETAMA,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,307,238,78%,39%,26%,35%,55%,,,,,,,,,,1,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,36.0,,31.0,,,,,,,,,,,64.0,37.0,74.0,74.0,60.0,72.0,57.0,65.0,60.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIQUET CARNEIRO,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,25,0,0%,0%,0%,0%,0%,,,,,,,,,,1,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORANGA,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,137,0,0%,0%,0%,0%,0%,,,,,,,,,,1,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POTENGI,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,109,0,0%,0%,0%,0%,0%,,,,,,,,,,1,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POTIRETAMA,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,103,85,83%,41%,21%,38%,54%,,,,,,,,,,1,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,60.0,35.0,,45.0,,,,,,,,,,32.0,61.0,12.0,68.0,72.0,55.0,58.0,52.0,65.0,64.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUIXELO,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,216,0,0%,0%,0%,0%,0%,,,,,,,,,,1,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUIXERAMOBIM,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,1221,939,77%,32%,15%,53%,64%,,,,,,,,,,1,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,67.0,49.0,,59.0,,,,,,,,,,47.0,70.0,54.0,70.0,75.0,67.0,61.0,68.0,69.0,69.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUIXERE,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,288,0,0%,0%,0%,0%,0%,,,,,,,,,,1,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REDENCAO,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,98,0,0%,0%,0%,0%,0%,,,,,,,,,,1,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RERIUTABA,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,192,0,0%,0%,0%,0%,0%,,,,,,,,,,1,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUSSAS,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,70,0,0%,0%,0%,0%,0%,,,,,,,,,,1,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SABOEIRO,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,154,0,0%,0%,0%,0%,0%,,,,,,,,,,1,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SALITRE,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,301,0,0%,0%,0%,0%,0%,,,,,,,,,,1,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTANA DO ACARAU,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,86,0,0%,0%,0%,0%,0%,,,,,,,,,,1,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTANA DO CARIRI,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,171,0,0%,0%,0%,0%,0%,,,,,,,,,,1,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAO BENEDITO,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,21,0,0%,0%,0%,0%,0%,,,,,,,,,,1,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAO JOAO DO JAGUARIBE,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,61,0,0%,0%,0%,0%,0%,,,,,,,,,,1,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SENADOR POMPEU,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,172,0,0%,0%,0%,0%,0%,,,,,,,,,,1,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOLONOPOLE,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,166,154,93%,39%,18%,44%,57%,,,,,,,,,,1,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,69.0,43.0,,52.0,,,,,,,,,,44.0,71.0,33.0,64.0,80.0,59.0,58.0,59.0,64.0,66.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABULEIRO DO NORTE,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,298,17,6%,35%,18%,47%,59%,,,,,,,,,,1,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,59.0,47.0,,53.0,,,,,,,,,,53.0,59.0,35.0,65.0,100.0,65.0,65.0,65.0,74.0,82.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAMBORIL,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,27,4,15%,25%,50%,25%,50%,,,,,,,,,,1,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,63.0,50.0,,25.0,,,,,,,,,,25.0,75.0,0.0,50.0,63.0,38.0,75.0,75.0,75.0,25.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAUA,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,565,76,13%,33%,22%,43%,60%,,,,,,,,,,1,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,64.0,51.0,,49.0,,,,,,,,,,43.0,74.0,41.0,63.0,72.0,62.0,59.0,59.0,66.0,73.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEJUCUOCA,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,278,0,0%,0%,0%,0%,0%,,,,,,,,,,1,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIANGUA,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,138,0,0%,0%,0%,0%,0%,,,,,,,,,,1,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAIRI,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,670,0,0%,0%,0%,0%,0%,,,,,,,,,,1,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UBAJARA,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,520,35,7%,0%,0%,100%,86%,,,,,,,,,,1,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,89.0,69.0,,97.0,,,,,,,,,,94.0,94.0,14.0,100.0,97.0,77.0,97.0,100.0,100.0,91.0,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMIRIM,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,363,148,41%,61%,14%,24%,43%,,,,,,,,,,1,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,47.0,32.0,,35.0,,,,,,,,,,25.0,48.0,0.0,56.0,60.0,47.0,67.0,47.0,42.0,49.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URUBURETAMA,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,318,297,93%,55%,23%,23%,47%,,,,,,,,,,1,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,50.0,30.0,,34.0,,,,,,,,,,29.0,55.0,25.0,54.0,65.0,51.0,58.0,49.0,54.0,56.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URUOCA,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,216,197,91%,25%,17%,58%,65%,,,,,,,,,,1,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,68.0,50.0,,61.0,,,,,,,,,,50.0,72.0,21.0,71.0,80.0,66.0,86.0,67.0,70.0,69.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARJOTA,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,228,0,0%,0%,0%,0%,0%,,,,,,,,,,1,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICOSA DO CEARA,MATEMÁTICA,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,782,0,0%,0%,0%,0%,0%,,,,,,,,,,1,4,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACARAPE,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,212,0,0%,0%,0%,0%,0%,,,,,,,,,,1,5,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACARAU,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,797,0,0%,0%,0%,0%,0%,,,,,,,,,,1,5,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACOPIARA,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,53,19,36%,26%,37%,37%,61%,,,,,,,,,,1,5,LPL,,,,,,,,,,,,,,,,,,,,,,74.0,,,,,65.0,,,,,,,,,,,,,,,,63.0,74.0,,58.0,,,,,,,,,,,,,,79.0,16.0,32.0,,26.0,84.0,,68.0,53.0,42.0,72.0,,,,,,,,,,,,,,,,,,,
ALCANTARAS,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,143,0,0%,0%,0%,0%,0%,,,,,,,,,,1,5,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALTANEIRA,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,11,11,100%,0%,27%,73%,79%,,,,,,,,,,1,5,LPL,,,,,,,,,,,,,,,,,,,,,,82.0,,,,,95.0,,,,,,,,,,,,,,,,73.0,91.0,,91.0,,,,,,,,,,,,,,100.0,0.0,55.0,55.0,,86.0,82.0,86.0,91.0,77.0,77.0,,,,,,,,,,,,,,,,,,,
ALTO SANTO,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,82,0,0%,0%,0%,0%,0%,,,,,,,,,,1,5,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTONINA DO NORTE,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,79,0,0%,0%,0%,0%,0%,,,,,,,,,,1,5,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARACATI,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,909,784,86%,22%,24%,54%,61%,,,,,,,,,,1,5,LPL,,,,,,,,,,,,,,,,,,,,,,77.0,,,,,79.0,,,,,,,,,,,,,,,,57.0,63.0,,63.0,,,,,,,,,,,,,,50.0,50.0,53.0,54.0,39.0,78.0,60.0,69.0,71.0,37.0,59.0,,,,,,,,,,,,,,,,,,,
ARACOIABA,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,344,326,95%,29%,27%,44%,57%,,,,,,,,,,1,5,LPL,,,,,,,,,,,,,,,,,,,,,,69.0,,,,,71.0,,,,,,,,,,,,,,,,55.0,61.0,,59.0,,,,,,,,,,,,,,56.0,49.0,49.0,44.0,42.0,71.0,46.0,63.0,66.0,32.0,60.0,,,,,,,,,,,,,,,,,,,
ARARENDA,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,129,128,99%,0%,2%,98%,85%,,,,,,,,,,1,5,LPL,,,,,,,,,,,,,,,,,,,,,,88.0,,,,,92.0,,,,,,,,,,,,,,,,93.0,98.0,,92.0,,,,,,,,,,,,,,71.0,80.0,80.0,,70.0,90.0,,91.0,88.0,52.0,96.0,,,,,,,,,,,,,,,,,,,
ARARIPE,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,290,1,0%,0%,0%,100%,64%,,,,,,,,,,1,5,LPL,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,100.0,,,,,,,,,,,,,,,,100.0,100.0,,0.0,,,,,,,,,,,,,,50.0,50.0,50.0,100.0,100.0,100.0,50.0,67.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,,,
ARATUBA,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,182,166,91%,18%,32%,50%,60%,,,,,,,,,,1,5,LPL,,,,,,,,,,,,,,,,,,,,,,79.0,,,,,83.0,,,,,,,,,,,,,,,,48.0,70.0,,63.0,,,,,,,,,,,,,,68.0,31.0,61.0,43.0,28.0,78.0,64.0,64.0,63.0,30.0,52.0,,,,,,,,,,,,,,,,,,,
ARNEIROZ,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,8,0,0%,0%,0%,0%,0%,,,,,,,,,,1,5,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSARE,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,202,7,3%,100%,0%,0%,21%,,,,,,,,,,1,5,LPL,,,,,,,,,,,,,,,,,,,,,,29.0,,,,,24.0,,,,,,,,,,,,,,,,0.0,14.0,,0.0,,,,,,,,,,,,,,14.0,86.0,0.0,,14.0,14.0,,7.0,14.0,21.0,33.0,,,,,,,,,,,,,,,,,,,
AURORA,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,227,0,0%,0%,0%,0%,0%,,,,,,,,,,1,5,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARRO,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,251,0,0%,0%,0%,0%,0%,,,,,,,,,,1,5,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARROQUINHA,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,228,0,0%,0%,0%,0%,0%,,,,,,,,,,1,5,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATURITE,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,377,6,2%,0%,17%,83%,72%,,,,,,,,,,1,5,LPL,,,,,,,,,,,,,,,,,,,,,,83.0,,,,,100.0,,,,,,,,,,,,,,,,83.0,100.0,,100.0,,,,,,,,,,,,,,42.0,83.0,67.0,50.0,33.0,100.0,50.0,83.0,67.0,,92.0,,,,,,,,,,,,,,,,,,,
BELA CRUZ,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,146,0,0%,0%,0%,0%,0%,,,,,,,,,,1,5,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOA VIAGEM,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,10,0,0%,0%,0%,0%,0%,,,,,,,,,,1,5,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BREJO SANTO,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,363,0,0%,0%,0%,0%,0%,,,,,,,,,,1,5,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMOCIM,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,664,0,0%,0%,0%,0%,0%,,,,,,,,,,1,5,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMPOS SALES,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,41,0,0%,0%,0%,0%,0%,,,,,,,,,,1,5,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANINDE,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,814,33,4%,18%,42%,39%,58%,,,,,,,,,,1,5,LPL,,,,,,,,,,,,,,,,,,,,,,73.0,,,,,76.0,,,,,,,,,,,,,,,,36.0,52.0,,73.0,,,,,,,,,,,,,,33.0,21.0,44.0,45.0,32.0,74.0,59.0,76.0,63.0,32.0,49.0,,,,,,,,,,,,,,,,,,,
CAPISTRANO,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,197,0,0%,0%,0%,0%,0%,,,,,,,,,,1,5,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARIRIACU,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,142,0,0%,0%,0%,0%,0%,,,,,,,,,,1,5,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNAUBAL,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,229,0,0%,0%,0%,0%,0%,,,,,,,,,,1,5,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASCAVEL,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,732,75,10%,27%,36%,37%,55%,,,,,,,,,,1,5,LPL,,,,,,,,,,,,,,,,,,,,,,72.0,,,,,80.0,,,,,,,,,,,,,,,,47.0,53.0,,45.0,,,,,,,,,,,,,,52.0,65.0,46.0,41.0,30.0,77.0,53.0,61.0,57.0,38.0,51.0,,,,,,,,,,,,,,,,,,,
CATARINA,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,114,0,0%,0%,0%,0%,0%,,,,,,,,,,1,5,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATUNDA,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,144,10,7%,0%,0%,100%,88%,,,,,,,,,,1,5,LPL,,,,,,,,,,,,,,,,,,,,,,95.0,,,,,100.0,,,,,,,,,,,,,,,,90.0,90.0,,90.0,,,,,,,,,,,,,,85.0,70.0,85.0,100.0,75.0,80.0,90.0,90.0,90.0,,90.0,,,,,,,,,,,,,,,,,,,
CAUCAIA,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,2255,0,0%,0%,0%,0%,0%,,,,,,,,,,1,5,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHAVAL,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,182,0,0%,0%,0%,0%,0%,,,,,,,,,,1,5,LPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHORO,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,178,135,76%,30%,19%,51%,60%,,,,,,,,,,1,5,LPL,,,,,,,,,,,,,,,,,,,,,,71.0,,,,,72.0,,,,,,,,,,,,,,,,68.0,70.0,,72.0,,,,,,,,,,,,,,57.0,19.0,56.0,,29.0,79.0,,74.0,59.0,39.0,55.0,,,,,,,,,,,,,,,,,,,
CRATEUS,LÍNGUA PORTUGUESA,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,801,674,84%,20%,21%,59%,66%,,,,,,,,,,1,5,LPL,,,,,,,,,,,,,,,,,,,,,,77.0,,,,,81.0,,,,,,,,,,,,,,,,69.0,77.0,,73.0,,,,,,,,,,,,,,63.0,32.0,67.0,59.0,39.0,81.0,78.0,74.0,65.0,46.0,59.0,,,,,,,,,,,,,,,,,,,
